node1,node2,free_bw,used_bw,delay,pkloss
1,3,199999.808383,191.616766,0.97692,0.0
1,7,199999.808383,191.616766,1.011729,0.0
1,16,199999.760479,239.509007,0.137568,0.0
2,4,199999.808383,191.607206,1.194835,0.0
2,7,199999.808383,191.607206,0.982165,0.0
2,12,199999.808402,191.597645,0.371575,0.0
2,13,199999.808402,191.597645,1.014233,0.0
2,18,49999.808402,191.597645,1.332641,0.0
2,23,49999.808383,191.607206,0.534415,0.0
3,10,199999.808383,191.616766,0.98002,0.0
3,11,49999.808383,191.616766,1.136661,0.0
3,14,3099.808383,191.616766,0.998497,0.0
3,21,199999.808383,191.616766,0.198364,0.0
4,16,199999.760479,239.509007,0.118613,0.0
5,8,49999.808383,191.607206,1.115918,0.0
5,16,49999.808383,191.607206,0.60904,0.0
6,7,3099.808383,191.607206,0.951171,0.0
6,19,3099.808402,191.597645,1.180887,0.0
7,17,199999.808383,191.616766,1.606941,0.0
7,19,49999.808383,191.607206,0.915289,0.0
7,21,199999.808383,191.616766,0.249982,0.0
8,9,49999.808383,191.607206,0.990868,0.0
9,15,49999.808383,191.607206,1.303554,0.0
9,16,199999.808383,191.607206,0.710726,0.0
10,11,49999.808383,191.616766,1.076341,0.0
10,12,199999.808383,191.607206,0.58651,0.0
10,16,199999.808383,191.607206,0.67246,0.0
10,17,199999.808383,191.616766,0.83077,0.0
12,22,199999.808402,191.597645,2.186179,0.0
13,14,3099.808383,191.607206,1.109958,0.0
13,17,199999.808383,191.607206,1.425624,0.0
13,19,49999.808402,191.597645,1.13678,0.0
15,20,49999.808383,191.616766,2.07293,0.0
17,20,199999.808383,191.616766,0.806451,0.0
17,23,49999.808383,191.616766,0.590205,0.0
18,21,49999.808383,191.616766,0.696182,0.0
20,22,49999.808383,191.607206,1.499653,0.0
